뒨,6,ㄷㅟㄴ
뒬,6,ㄷㅟㄹ
뒵,6,ㄷㅟㅂ
뒷,6,ㄷㅟㅅ
뒹,6,ㄷㅟㅇ
듀,2,ㄷㅠ
듄,5,ㄷㅠㄴ
듈,5,ㄷㅠㄹ
듐,5,ㄷㅠㅁ
듕,5,ㄷㅠㅇ
드,2,ㄷㅡ
득,5,ㄷㅡㄱ
든,5,ㄷㅡㄴ
듣,5,ㄷㅡㄷ
들,5,ㄷㅡㄹ
듦,5,ㄷㅡㄻ
듬,5,ㄷㅡㅁ
듭,5,ㄷㅡㅂ
듯,5,ㄷㅡㅅ
등,5,ㄷㅡㅇ
듸,3,ㄷㅢ
디,1,ㄷㅣ
딕,4,ㄷㅣㄱ
딘,4,ㄷㅣㄴ
딛,4,ㄷㅣㄷ
딜,4,ㄷㅣㄹ
딤,4,ㄷㅣㅁ
딥,4,ㄷㅣㅂ
딧,4,ㄷㅣㅅ
딨,4,ㄷㅣㅆ
딩,4,ㄷㅣㅇ
딪,4,ㄷㅣㅈ
따,1,ㄸㅏ
딱,4,ㄸㅏㄱ
딴,4,ㄸㅏㄴ
딸,4,ㄸㅏㄹ
땀,4,ㄸㅏㅁ
땁,4,ㄸㅏㅂ
땃,4,ㄸㅏㅅ
땄,4,ㄸㅏㅆ
땅,4,ㄸㅏㅇ
땋,4,ㄸㅏㅎ
때,1,ㄸㅐ
땍,4,ㄸㅐㄱ
땐,4,ㄸㅐㄴ
땔,4,ㄸㅐㄹ
땜,4,ㄸㅐㅁ
땝,4,ㄸㅐㅂ
땟,4,ㄸㅐㅅ
땠,4,ㄸㅐㅆ
땡,4,ㄸㅐㅇ
떠,1,ㄸㅓ
떡,4,ㄸㅓㄱ
떤,4,ㄸㅓㄴ
떨,4,ㄸㅓㄹ
떪,4,ㄸㅓㄻ
떫,4,ㄸㅓㄼ
떰,4,ㄸㅓㅁ
떱,4,ㄸㅓㅂ
떳,4,ㄸㅓㅅ
떴,4,ㄸㅓㅆ
떵,4,ㄸㅓㅇ
떻,4,ㄸㅓㅎ
떼,1,ㄸㅔ
떽,4,ㄸㅔㄱ
뗀,4,ㄸㅔㄴ
뗄,4,ㄸㅔㄹ
뗌,4,ㄸㅔㅁ
뗍,4,ㄸㅔㅂ
뗏,4,ㄸㅔㅅ
뗐,4,ㄸㅔㅆ
뗑,4,ㄸㅔㅇ
뗘,1,ㄸㅕ
뗬,4,ㄸㅕㅆ
또,2,ㄸㅗ
똑,5,ㄸㅗㄱ
똔,5,ㄸㅗㄴ
똘,5,ㄸㅗㄹ
똥,5,ㄸㅗㅇ
똬,3,ㄸㅘ
똴,6,ㄸㅘㄹ
뙈,3,ㄸㅙ
뙤,3,ㄸㅚ
